,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ribeira Grande,75,PT,1568141292,83,38.52,-28.7,69.8,2.24
1,Cape Town,40,ZA,1568141257,77,-33.93,18.42,60.01,9.17
2,Mahebourg,75,MU,1568141250,73,-20.41,57.7,69.8,9.17
3,Ishigaki,13,JP,1568141296,83,24.34,124.16,82.82,10.49
4,Hermanus,53,ZA,1568141297,85,-34.42,19.24,60.01,5.99
5,Surt,12,LY,1568141298,72,31.21,16.59,81.56,25.72
6,Melhus,0,NO,1568141299,93,63.29,10.28,64.4,5.82
7,Ushuaia,75,AR,1568141113,53,-54.81,-68.31,50.0,7.49
8,Saint-Philippe,90,CA,1568141302,63,45.36,-73.48,69.01,5.82
9,Rikitea,82,PF,1568141303,79,-23.12,-134.97,71.12,16.46
10,Chokurdakh,79,RU,1568141304,88,70.62,147.9,34.04,11.88
11,Mar del Plata,0,AR,1568141305,29,-46.43,-67.52,46.82,5.57
12,East London,0,ZA,1568141197,93,-33.02,27.91,60.8,3.36
13,San Patricio,49,PY,1568141308,61,-26.98,-56.83,74.36,9.1
14,Butaritari,100,KI,1568141309,92,3.07,172.79,77.24,10.31
15,Ahipara,9,NZ,1568141310,84,-35.17,173.16,56.36,17.11
16,Vaini,39,IN,1568141311,94,15.34,74.49,75.98,3.04
17,Atuona,75,PF,1568141313,77,-9.8,-139.03,79.58,24.25
18,Dikson,100,RU,1568141314,58,73.51,80.55,34.94,27.81
19,Klaksvik,100,FO,1568141315,100,62.23,-6.59,50.0,24.16
20,Guerrero,90,AR,1568141317,59,-24.19,-65.45,60.8,5.82
21,Bonavista,18,CA,1568141079,60,48.65,-53.11,62.01,8.01
22,Faya,40,SA,1568141319,82,18.39,42.45,71.6,9.17
23,Mataura,38,NZ,1568141320,79,-46.19,168.86,46.0,11.01
24,Quang Ngai,100,VN,1568141321,95,15.12,108.8,70.76,2.73
25,Te Anau,66,NZ,1568141323,69,-45.41,167.72,38.54,3.98
26,Tiksi,30,RU,1568141324,77,71.64,128.87,30.8,4.81
27,Arraial do Cabo,0,BR,1568141325,61,-22.97,-42.02,82.4,13.87
28,Lethem,33,GY,1568141326,50,3.38,-59.8,91.28,10.02
